Contaminant,Contaminant Type,Contamination Area,Contamination Source,Land Use Type,Military_ID,Date of Pollution Event,Ongoing or Historic Contamination,Ahupuaʻa,Detection Level,Advisory/Regulatory Level,Media where contaminant was measured,Most likely impacted water body,Threat of spread?,Relative Health Risk,Community Health Risk,Other Notes,Year Published,Source,ID,MAP Notes,Coordinates,...23,Start Year,End Year
Lead,Metals,Puʻuloa Beach park,Puʻuloa Rifle Range,Urban,1,1900s-Current,Ongoing,Honouliuli,"< 14,000 mg/kg",HDOH EAL: 200 mg/kg; C/I: 800 mg/kg,Soil (depth not specified),Nearshore coastal waters,"Southern Oahu Basal Aquifer and Nearshore water quality, through erosion and leaching into nearshore water table","Exposure to lead can have severe health effects, particularly in children, including developmental delays, learning difficulties, and lower IQ. In adults, lead exposure can cause cardiovascular problems, kidney damage, and reproductive issues. Chronic exposure to lead is also associated with neurological effects and can increase the risk of hypertension and anemia.","Puʻuloa Beach goers, especially children. Anyone who consumes fish from the region",17x the acceptable level in the region. table 23: sampling site map,2022,"(Surfrider, 2022) Puʻuloa Beach Final Lead Contamination Report.pdf",1,Puʻuloa Range Training Facility,157.9883754°W 21.3174478°N,NA,1900,2020
Diuron,Pesticides,Sugarcane Pesticide Mixing and Loading Site (Oʻahu Sugar Co.),"Oʻahu Sugar, Pesticide mixing/loading",Agriculture,0,1890-1995,Historic,Honouliuli,<  1.22 mg/kg,HDOH EAL: 3.6 mg/kg,Shallow Soil (0-3 ft.),Groundwater,Groundwater contamination to nearby well,"Short-term exposure may lead to skin and eye irritation, while long-term exposure has been linked to liver and kidney damage. Diuron is also considered a possible human carcinogen, with studies suggesting potential links to cancer with prolonged exposure",Deemed inconclusive to if site is contributing to NPS pollution,Sampling location not specific. Assume by description they are talking about Oʻahu Sugar Mill in ʻEwa.,1990,"(Miles et al, 1990) Soil and water contamination at pesticide mixing and loading sites on Oahu, Hawaii.pdf",2,"""The two pesticide mixing and loading sites studied are
found on the island of Oahu in the saddle region between
the Waiʻanae and Koʻolau mountain ranges"", but other materials indicated this located in the Waipiʻo Peninsula ""The Site is located on the Pearl Harbor Naval Complex Superfund Site at 21° 21'
44.7"" north latitude and 157 ° 59' 23.7"" west longitude, Waipiʻo Peninsula, Waipahu,
Hawaiʻi.
"" https://semspub.epa.gov/work/09/2062342.pdf",157.9878633°W 21.3626796°N,NA,1890,1995
Atrazine,Pesticides,Sugarcane Pesticide Mixing and Loading Site (Oʻahu Sugar Co.),"Oʻahu Sugar, Pesticide mixing/loading",Agriculture,0,1890-1995,Historic,Honouliuli,"< 3,472 mg/kg",HDOH EAL: 2.3 mg/kg; C/I: 8.7 mg/kg,Shallow Soil (0-3 ft.),Groundwater,Groundwater contamination to nearby well,"Exposure to atrazine can cause skin and eye irritation and respiratory issues. Long-term exposure has been associated with endocrine disruption, reproductive problems, and potential links to breast and prostate cancer.",Deemed inconclusive to if site is contributing to NPS pollution,Sampling location not specific. Assume by description they are talking about Oʻahu Sugar Mill in ʻEwa.,1990,NA,3,NA,157.9878633°W 21.3626796°N,NA,1890,1995
Terbacil,Pesticides,Sugarcane Pesticide Mixing and Loading Site (Oʻahu Sugar Co.),"Oʻahu Sugar, Pesticide mixing/loading",Agriculture,0,1890-1995,Historic,Honouliuli,< 3.38 mg/kg,HDOH EAL: 2.1 mg/kg; C/I: 8.7 mg/kg,Shallow Soil (0-3 ft.),Groundwater,Groundwater contamination to nearby well,Exposure to terbacil can cause irritation to the eyes and skin. Long-term exposure may lead to more serious health issues such as liver and kidney damage,Deemed inconclusive to if site is contributing to NPS pollution,Sampling location not specific. Assume by description they are talking about Oʻahu Sugar Mill in ʻEwa.,1990,NA,4,NA,157.9878633°W 21.3626796°N,NA,1890,1995
Ametryn,Pesticides,Sugarcane Pesticide Mixing and Loading Site (Oʻahu Sugar Co.),"Oʻahu Sugar, Pesticide mixing/loading",Agriculture,0,1890-1995,Historic,Honouliuli,"< 17,664 mg/kg",HDOH EAL: 1.1 mg/kg; C/I: 1.3 mg/kg,Shallow Soil (0-3 ft.),Groundwater,Groundwater contamination to nearby well,"Both acute and chronic toxicity are anticipated to be low. Cancer risk only observed at doses exceeding the maximum tolerated level in oncogenicity studies. Low acute toxicity through dermal, oral, and inhalation routes (Toxicity Category III for oral/dermal, Category IV inhalation). Skin and eye irritation.",Deemed inconclusive to if site is contributing to NPS pollution,Sampling location not specific. Assume by description they are talking about Oʻahu Sugar Mill in ʻEwa.,1990,NA,5,NA,157.9878633°W 21.3626796°N,NA,1890,1995
DDT Compounds,Legacy Pesticides,Sugarcane Pesticide Mixing and Loading Site (Oʻahu Sugar Co.),"Oʻahu Sugar, Pesticide mixing/loading",Agriculture,0,1890-1995,Historic,Honouliuli,< 6.339 mg/kg,HDOH EAL: 1.8 mg/kg; C/I 5.6 mg/kg,Shallow Soil (0-3 ft.),Groundwater,Groundwater contamination to nearby well,"DDT exposure has been linked to neurodevelopmental effects, including impaired cognitive function, learning disabilities, and behavioral disorders. In animal studies, prenatal and early-life exposure to DDT has been associated with alterations in brain structure and function. Also reproductive abornamilities",Deemed inconclusive to if site is contributing to NPS pollution,Sampling location not specific. Assume by description they are talking about Oʻahu Sugar Mill in ʻEwa.,1990,"(Miles et al, 1990) Soil and water contamination at pesticide mixing and loading sites on Oahu, Hawaii.pdf",7,NA,157.9878633°W 21.3626796°N,NA,1890,1995
Ametryn,Pesticides,ʻEwa Sugar Mill-Kunia Air Strip Staging Area,Airstrip pesticide mixing area,Agriculture,0,1959-1993,Historic,Honouliuli,47 mg/kg,HDOH EAL: 1.1 mg/kg; C/I: 1.3 mg/kg,Soil (depth not specified),Not specified,Not specified,"Both acute and chronic toxicity are anticipated to be low. Cancer risk only observed at doses exceeding the maximum tolerated level in oncogenicity studies. Low acute toxicity through dermal, oral, and inhalation routes (Toxicity Category III for oral/dermal, Category IV inhalation). Skin and eye irritation.",Not specified,P.29 summary. No access to full report,2009,"(HDOH, 2009) Kunia Staging Area (Air strip) SI Report .pdf",17,Mapping based on Kunia Air Strip,158.0363555°W 21.4077821°N,NA,1959,1993
Atrazine,Pesticides,ʻEwa Sugar Mill-Kunia Air Strip Staging Area,Airstrip pesticide mixing area,Agriculture,0,1959-1993,Historic,Honouliuli,2.17 mg/kg,HDOH EAL: 2.3 mg/kg; C/I: 8.7 mg/kg,Soil (depth not specified),Not specified,Not specified,"Endocrine disrupting chemical interrupting regular hormone function and causing birth defects, reproductive tumors, and weight loss in amphibians as well as humans.",Not specified,P.66 Location data,2009,https://health.hawaii.gov/heer/files/2021/06/HDOH2011d.pdf,18,NA,158.0363555°W 21.4077821°N,NA,1959,1993
Arsenic,Metals,ʻEwa Sugar Mill-Kunia Air Strip Staging Area,Airstrip pesticide mixing area,Agriculture,0,1959-1993,Historic,Honouliuli,"3,800 mg/kg",HDOH EAL: 24 mg/kg; C/I: 95 mg/kg,Soil (depth not specified),Not specified,Not specified,"Chronic exposure to arsenic can lead to serious health effects, including skin lesions, cardiovascular diseases, and an increased risk of skin, bladder, and lung cancer. It can also cause neurological effects, including cognitive impairment and developmental delays. Acute exposure to high levels of arsenic can result in GI symptoms like nausea, vomiting, and diarrhea.",Not specified,P.29 summary. No access to full report,2009,"(HDOH, 2009) Kunia Staging Area (Air strip) SI Report .pdf",19,NA,158.0363555°W 21.4077821°N,NA,1959,1993
TEQ Dioxins,Dioxins,ʻEwa Sugar Mill-Kunia Air Strip Staging Area,Airstrip pesticide mixing area,Agriculture,0,1959-1993,Historic,Honouliuli,869 ng/kg,"HDOH EAL: 240 ng/kg; C/I: 1,500 ng/kg",Soil (depth not specified),Not specified,Not specified,"Exposure to TEQ dioxins can lead to cancer, reproductive and developmental issues, and immune system damage. Short-term exposure can cause skin lesions and altered liver function, while long-term exposure is linked to endocrine disruption and increased risk of certain cancers. Dioxins are highly persistent in the environment and can accumulate in the food chain, posing long-term health risks",Not specified,P.29 summary. No access to full report,2009,"(HDOH, 2009) Kunia Staging Area (Air strip) SI Report .pdf",20,NA,158.0363555°W 21.4077821°N,NA,1959,1993
