FID,ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,Estimated Population,M_TOTPOP,Housing units ,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,Person aged 65 or older,M_AGE65,Person aged 17 or younger,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSU,SPL_THEME1,Socioeconomic Status - Percentile Ranking,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,Household Characteristics Percentile Ranking,EPL_MINRTY,SPL_THEME3,Racial & Ethnic Minority Status Percentile Ranking,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,Housing Type & Transportation Percentile Ranking,SPL_THEMES,Overall Percentile Ranking,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRAC,M_OTHERRAC,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRA,MP_OTHERRA,Shape_Leng,Shape_Le_1,Chemical Exposure Count,Shape__Area,Shape__Length
1,15,Hawaii,HI,15003,Honolulu,15003006704,"Census Tract 67.04, Honolulu County, Hawaii",7.063402,6686,874,2482,204,2280,195,882,579,109,52,663,199,215,109,120,83,1484,191,1519,393,596,123,65,51,229,129,5972,910,590,136,7,12,206,115,229,115,47,24,13.300000,8.600000,3.600000,1.800000,29.100000,8.400000,4.600000,2.100000,1.900000,1.100000,22.200000,3.100000,22.700000,5.100000,9.400000,2.200000,2.900000,2.200000,3.700000,2.000000,89.300000,7.000000,23.800000,5.100000,0.300000,0.500000,9.000000,5.000000,10.000000,4.600000,0.700000,0.300000,0.515300,0.478700,0.585900,0.411800,0.306400,2.298100,0.427600,0.661200,0.689400,0.342000,0.416500,0.609400,2.718500,0.622300,0.701200,0.701200,0.701200,0.694100,0.812400,0.604700,0.738700,0.616500,3.466400,0.950100,9.184200,0.762500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5631,485,1251,262,169,512,295,3311,586,0,17,558,512,1329,327,0,17,7.300000,1.000000,3.900000,2.600000,7.700000,3.900000,49.500000,7.700000,0.000000,0.500000,8.300000,7.100000,19.900000,5.000000,0.000000,0.500000,0.266781,0.013708,0,115524.804688,1572.506182
2,15,Hawaii,HI,15003,Honolulu,15003006806,"Census Tract 68.06, Honolulu County, Hawaii",0.186397,1654,181,561,52,529,58,64,41,15,17,23,22,79,49,6,9,657,97,215,54,258,66,13,16,35,55,1595,171,4,13,0,12,0,16,25,19,24,31,3.900000,2.400000,2.000000,2.300000,4.300000,4.100000,5.800000,3.300000,0.400000,0.500000,39.700000,3.800000,13.000000,2.900000,15.700000,3.200000,2.500000,3.000000,2.200000,3.400000,96.400000,14.800000,0.700000,2.300000,0.000000,5.600000,0.000000,3.000000,4.700000,3.600000,1.500000,1.900000,0.094100,0.253600,0.023500,0.512900,0.064100,0.948200,0.061800,0.985900,0.145900,0.838500,0.355300,0.442400,2.768000,0.660300,0.912900,0.912900,0.912900,0.282400,0.000000,0.000000,0.532100,0.743500,1.558000,0.313500,6.187100,0.292200,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,2,1124,120,258,0,12,72,53,1402,148,0,12,1,2,120,64,0,12,7.400000,0.800000,0.000000,1.900000,4.400000,3.100000,84.800000,5.300000,0.000000,1.900000,0.100000,0.100000,7.300000,3.700000,0.000000,1.900000,0.035546,0.035546,0,552246.835938,4100.890551
3,15,Hawaii,HI,15003,Honolulu,15003006810,"Census Tract 68.10, Honolulu County, Hawaii",0.384467,3987,580,1115,115,1076,124,797,510,45,34,608,189,38,50,9,11,46,43,1754,299,470,351,70,61,41,71,2356,452,6,15,0,12,0,16,22,26,0,12,20.200000,12.600000,4.900000,3.400000,56.500000,16.300000,1.900000,2.500000,0.300000,0.400000,1.200000,1.100000,44.000000,3.900000,14.700000,9.900000,6.500000,5.600000,1.300000,2.200000,59.100000,7.400000,0.500000,1.300000,0.000000,2.900000,0.000000,1.500000,2.000000,2.500000,0.000000,0.300000,0.771800,0.632700,0.971800,0.131800,0.052300,2.560400,0.515400,0.054100,0.990600,0.786200,0.776500,0.291800,2.899200,0.726800,0.164700,0.164700,0.164700,0.247100,0.000000,0.000000,0.285000,0.000000,0.532100,0.049900,6.156400,0.287400,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,3571,77,843,692,288,1111,313,150,52,30,44,47,26,326,136,0,12,1.900000,0.300000,17.400000,7.200000,27.900000,6.600000,3.800000,1.500000,0.800000,1.100000,1.200000,0.600000,8.200000,3.300000,0.000000,0.800000,0.050213,0.050213,2,1156017.144531,5739.093299
4,15,Hawaii,HI,15003,Honolulu,15003006811,"Census Tract 68.11, Honolulu County, Hawaii",0.362256,1948,341,490,88,482,87,399,254,22,17,216,102,0,12,28,35,0,12,1006,192,76,47,8,16,0,48,1476,439,0,16,0,12,34,30,0,12,0,12,21.000000,12.800000,5.900000,4.900000,44.800000,19.600000,0.000000,4.000000,1.700000,2.100000,0.000000,1.700000,51.600000,3.900000,4.700000,2.700000,1.700000,3.300000,0.000000,3.000000,75.800000,18.200000,0.000000,3.300000,0.000000,6.400000,7.100000,6.100000,0.000000,6.500000,0.000000,0.600000,0.788200,0.706200,0.889400,0.000000,0.263700,2.647500,0.553400,0.000000,1.000000,0.049900,0.251800,0.000000,1.301700,0.042800,0.352900,0.352900,0.352900,0.000000,0.000000,0.517600,0.000000,0.000000,0.517600,0.047500,4.819700,0.104500,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1429,0,482,470,257,445,260,61,66,0,12,153,100,334,211,13,20,0.000000,24.700000,24.100000,13.400000,22.800000,11.600000,3.100000,3.100000,0.000000,1.700000,7.900000,5.100000,17.100000,9.400000,0.700000,1.000000,0.052463,0.045438,0,648967.359375,5225.220634
5,15,Hawaii,HI,15003,Honolulu,15003006813,"Census Tract 68.13, Honolulu County, Hawaii",0.710234,5387,726,2134,235,1973,249,233,147,104,76,415,159,261,131,207,168,948,201,1033,247,249,108,29,36,151,112,4915,775,1627,227,0,17,136,90,81,66,68,57,4.300000,2.700000,3.200000,2.400000,21.000000,7.600000,6.700000,3.100000,4.000000,3.100000,17.600000,3.700000,19.200000,3.800000,4.800000,2.100000,1.500000,1.800000,2.900000,2.100000,91.200000,7.500000,76.200000,6.500000,0.000000,1.500000,6.900000,4.500000,4.100000,3.400000,1.300000,1.000000,0.117600,0.410000,0.343500,0.604700,0.643700,2.119500,0.351500,0.418800,0.465900,0.054600,0.225900,0.534100,1.699300,0.109300,0.767100,0.767100,0.767100,0.891800,0.000000,0.505900,0.496400,0.717600,2.611700,0.719700,7.197600,0.441800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2342,303,999,105,90,325,136,3460,566,0,17,206,211,730,439,89,129,5.700000,0.800000,1.900000,1.600000,6.000000,2.600000,64.200000,8.600000,0.000000,0.600000,3.800000,3.800000,13.600000,7.600000,1.700000,2.300000,0.069116,0.044647,0,726751.101563,5129.911279
6,15,Hawaii,HI,15003,Honolulu,15003006814,"Census Tract 68.14, Honolulu County, Hawaii",0.030451,2934,423,973,96,925,96,387,200,115,68,177,74,373,173,90,57,490,152,635,131,311,149,50,41,276,132,2672,484,722,95,0,12,137,59,140,75,0,12,13.200000,6.500000,7.800000,4.300000,19.100000,7.800000,18.100000,6.400000,3.100000,2.000000,16.700000,4.300000,21.600000,3.200000,10.800000,4.500000,5.400000,4.400000,10.400000,4.700000,91.100000,10.000000,74.200000,6.500000,0.000000,3.300000,14.800000,6.200000,15.100000,7.400000,0.000000,0.400000,0.501200,0.803300,0.308200,0.943500,0.494100,3.050300,0.688800,0.364700,0.640000,0.475100,0.689400,0.894100,3.063300,0.807600,0.762400,0.762400,0.762400,0.889400,0.000000,0.835300,0.829000,0.000000,2.553700,0.672200,9.429700,0.802900,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,792,299,604,81,96,270,159,1557,342,0,12,87,82,677,277,0,12,10.200000,1.500000,2.800000,3.200000,9.200000,5.300000,53.100000,9.900000,0.000000,1.100000,3.000000,2.700000,23.100000,8.500000,0.000000,1.100000,0.012363,0.009494,0,68847.214844,1088.634255
7,15,Hawaii,HI,15003,Honolulu,15003006816,"Census Tract 68.16, Honolulu County, Hawaii",0.081184,2100,487,560,110,528,96,177,117,16,32,121,68,140,84,58,67,385,171,438,165,315,184,36,50,218,159,2001,661,70,51,21,27,43,37,8,13,55,130,8.400000,5.200000,1.400000,2.600000,22.900000,12.200000,9.700000,5.000000,2.800000,3.000000,18.300000,7.000000,20.900000,6.200000,15.100000,7.400000,6.800000,9.400000,11.200000,7.700000,95.300000,22.400000,12.500000,8.800000,3.800000,4.800000,8.100000,6.900000,1.500000,2.500000,2.600000,6.200000,0.312900,0.180100,0.400000,0.762400,0.448900,2.104300,0.346800,0.451800,0.602400,0.812400,0.792900,0.908200,3.567700,0.966700,0.891800,0.891800,0.891800,0.569400,0.992900,0.557600,0.232800,0.816500,3.169200,0.890700,9.733000,0.824200,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,2,736,35,678,0,12,67,79,1432,603,0,12,44,51,458,254,0,12,1.700000,0.500000,0.000000,1.500000,3.200000,3.800000,68.200000,17.100000,0.000000,1.500000,2.100000,2.500000,21.800000,14.300000,0.000000,1.500000,0.018637,0.018637,0,247161.136719,2140.893995
8,15,Hawaii,HI,15003,Honolulu,15003006817,"Census Tract 68.17, Honolulu County, Hawaii",0.178720,4944,567,895,57,874,66,353,171,111,65,44,56,736,229,171,95,991,202,948,203,517,159,26,27,462,169,4775,708,0,16,0,12,222,75,26,22,145,112,7.300000,3.400000,4.000000,2.100000,5.000000,6.400000,19.800000,6.000000,3.500000,1.800000,20.000000,3.700000,19.200000,3.500000,10.500000,3.000000,3.000000,3.100000,9.700000,3.400000,96.600000,9.100000,0.000000,1.800000,0.000000,3.600000,25.400000,8.400000,3.000000,2.500000,2.900000,2.200000,0.265900,0.542700,0.030600,0.952900,0.567700,2.359800,0.446600,0.541200,0.465900,0.458400,0.425900,0.877600,2.769000,0.662700,0.917600,0.917600,0.917600,0.000000,0.000000,0.955300,0.396700,0.828200,2.180200,0.543900,8.226600,0.612800,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,3,1335,475,802,12,21,172,132,3482,568,0,12,562,346,547,205,0,12,9.900000,1.100000,0.200000,0.400000,3.500000,2.800000,70.400000,7.400000,0.000000,0.700000,11.400000,6.600000,11.100000,4.200000,0.000000,0.700000,0.031841,0.031841,0,529589.714844,3692.246426
9,15,Hawaii,HI,15003,Honolulu,15003006818,"Census Tract 68.18, Honolulu County, Hawaii",0.029684,1930,328,868,118,816,139,326,259,21,18,280,116,161,94,44,50,323,92,389,121,74,48,47,65,116,69,1738,408,812,137,0,12,87,61,28,27,0,12,16.900000,13.100000,2.000000,1.700000,34.300000,13.000000,12.300000,7.400000,2.400000,2.800000,16.700000,4.600000,20.200000,5.200000,4.000000,2.800000,5.800000,7.900000,6.500000,3.700000,90.100000,14.600000,93.500000,9.400000,0.000000,3.700000,10.700000,7.200000,3.400000,3.300000,0.000000,0.600000,0.675300,0.253600,0.743500,0.849400,0.382400,2.904200,0.641300,0.364700,0.555300,0.030900,0.727100,0.769400,2.447400,0.463200,0.724700,0.724700,0.724700,0.950600,0.000000,0.694100,0.448900,0.000000,2.093600,0.508300,8.169900,0.601000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,622,97,452,265,238,108,129,826,191,0,12,139,105,400,214,0,12,5.000000,0.900000,13.700000,11.800000,5.600000,6.500000,42.800000,10.000000,0.000000,1.700000,7.200000,5.200000,20.700000,9.500000,0.000000,1.700000,0.010221,0.010221,0,86620.933594,1181.527494
10,15,Hawaii,HI,15003,Honolulu,15003006819,"Census Tract 68.19, Honolulu County, Hawaii",0.034152,2902,464,1309,140,1233,156,423,203,74,63,523,157,349,206,110,91,502,159,489,191,356,147,77,65,203,94,2640,459,1299,147,0,12,181,90,171,96,0,12,14.600000,6.600000,4.400000,3.700000,42.400000,11.500000,17.500000,9.100000,3.800000,3.100000,17.300000,5.100000,16.900000,6.000000,12.400000,4.800000,6.200000,5.200000,7.100000,3.100000,91.000000,6.200000,99.200000,3.700000,0.000000,2.400000,14.700000,7.100000,13.900000,7.600000,0.000000,0.400000,0.585900,0.582900,0.863500,0.938800,0.612800,3.583900,0.850400,0.400000,0.320000,0.617600,0.752900,0.795300,2.885800,0.722100,0.755300,0.755300,0.755300,0.997600,0.000000,0.830600,0.814700,0.000000,2.642900,0.741100,9.867900,0.840900,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,739,162,661,47,64,353,243,1695,313,0,12,81,77,464,209,0,12,5.600000,0.900000,1.600000,2.300000,12.200000,7.300000,58.400000,9.500000,0.000000,1.100000,2.800000,2.700000,16.000000,6.100000,0.000000,1.100000,0.020000,0.004436,0,10472.671875,519.835727
