OBJECTID,Number,Contaminant,Contaminant Type,Contamination Area,Contamination Source,Land Use Type,Date of Pollution Event,Ongoing or Historic Contamination,Ahupuaʻa,Detection Level,Advisory/Regulatory Level,Media where contaminant was measured,Most likely impacted water body,Threat of spread?,Relative Health Risk,Community Health Risk,Other Notes,Year Published,Source,ID,MAP Notes,Coordinates,Field22,x,y
1,1,Pb (Lead),Heavy Metal,Puʻuloa Beach park,Puʻuloa Beach park,Military/Urban,1900s-current,Ongoing,Honouliuli,"< 14,000 mg/kg",HDOH EAL: 200 mg/kg; C/I: 800 mg/kg,Soil,Nearshore coastal waters,"Southern Oahu Basal Aquifer and Nearshore water quality, through erosion and leaching into nearshore water table","Exposure to lead can have severe health effects, particularly in children, including developmental delays, learning difficulties, and lower IQ. In adults, lead exposure can cause cardiovascular problems, kidney damage, and reproductive issues. Chronic exposure to lead is also associated with neurological effects and can increase the risk of hypertension and anemia.","Puʻuloa Beach goers, especially children. Anyone who consumes fish from the region",17x the acceptable level in the region. table 23: sampling site map,2022,"(Surfrider, 2022) Puʻuloa Beach Final Lead Contamination Report.pdf",1,Puuloa Range Training Facility,157.9883754°W 21.3174478°N,,-17587185.505,2429771.347
2,2,DCMU (Diuron),Herbicide,Sugarcane Pesticide Mixing and Loading Site (Oʻahu Sugar Co.),Sugarcane Pesticide Mixing and Loading Site (Oʻahu Sugar Co.),Agriculture,Not Specified,Historic,Honouliuli,<  1.22 ppm,HDOH EAL: 3.6 mg/kg,Surface Soil,Groundwater,Groundwater contamination to nearby well,"Short-term exposure may lead to skin and eye irritation, while long-term exposure has been linked to liver and kidney damage. Diuron is also considered a possible human carcinogen, with studies suggesting potential links to cancer with prolonged exposure",Deemed inconclusive to if site is contributing to NPS pollution,Sampling location not specific. Assume by description they are talking about Oahu Sugar mill in Ewa. ,1990,"(Miles et al, 1990) Soil and water contamination at pesticide mixing and loading sites on Oahu, Hawaii.pdf",2,"""The two pesticide mixing and loading sites studied are found on the island of Oahu in the saddle region between the Waianae and Koolau mountain ranges"", but other materials indicated this located in the Waipio Peninsula ""The Site is located on the Pearl Harbor Naval Complex Superfund Site at 21° 21' 44.7"" north latitude and 157 ° 59' 23.7"" west longitude, Waipio Peninsula, Waipahu, Hawaii. "" https://semspub.epa.gov/work/09/2062342.pdf",157.9878633°W 21.3626796°N ,,-17587130.616,2435218.896
3,3,Atrazine,"Triazine, Herbicide",Sugarcane Pesticide Mixing and Loading Site (Oʻahu Sugar Co.),Sugarcane Pesticide Mixing and Loading Site (Oʻahu Sugar Co.),Agriculture,Not Specified,Historic,Honouliuli,"< 3,472 ppm",HDOH EAL: 2.3 mg/kg; C/I: 8.7 mg/kg,Surface Soil,Groundwater,Groundwater contamination to nearby well,"Exposure to atrazine can cause skin and eye irritation and respiratory issues. Long-term exposure has been associated with endocrine disruption, reproductive problems, and potential links to breast and prostate cancer. ",Deemed inconclusive to if site is contributing to NPS pollution,Sampling location not specific. Assume by description they are talking about Oahu Sugar mill in Ewa. ,1990,,3,,157.9878633°W 21.3626796°N ,,-17587145.578,2435167.761
4,4,Terbacil,Herbicide,Sugarcane Pesticide Mixing and Loading Site (Oʻahu Sugar Co.),Sugarcane Pesticide Mixing and Loading Site (Oʻahu Sugar Co.),Agriculture,Not Specified,Historic,Honouliuli,< 3.38 ppm,HDOH EAL: 2.1 mg/kg; C/I: 8.7 mg/kg,Surface Soil,Groundwater,Groundwater contamination to nearby well,Exposure to terbacil can cause irritation to the eyes and skin. Long-term exposure may lead to more serious health issues such as liver and kidney damage,Deemed inconclusive to if site is contributing to NPS pollution,Sampling location not specific. Assume by description they are talking about Oahu Sugar mill in Ewa. ,1990,,4,,157.9878633°W 21.3626796°N ,,-17587148.345,2435197.547
5,5,Ametryn,"Triazine, Herbicide",Sugarcane Pesticide Mixing and Loading Site (Oʻahu Sugar Co.),Sugarcane Pesticide Mixing and Loading Site (Oʻahu Sugar Co.),Agriculture,Not Specified,Historic,Honouliuli,"< 17,664 ppm",HDOH EAL: 1.1 mg/kg; C/I: 1.3 mg/kg,Surface Soil,Groundwater,Groundwater contamination to nearby well,"Both acute and chronic toxicity are anticipated to be low. Cancer risk only observed at doses exceeding the maximum tolerated level in oncogenicity studies. Low acute toxicity through dermal, oral, and inhalation routes (Toxicity Category III for oral/dermal, Category IV inhalation). Skin and eye irritation. ",Deemed inconclusive to if site is contributing to NPS pollution,Sampling location not specific. Assume by description they are talking about Oahu Sugar mill in Ewa. ,1990,,5,,157.9878633°W 21.3626796°N ,,-17587107.906,2435188.349
6,7,DDT,"Organochloride, Pesticide",Sugarcane Pesticide Mixing and Loading Site (Oʻahu Sugar Co.),Sugarcane Pesticide Mixing and Loading Site (Oʻahu Sugar Co.),Agriculture,Not Specified,Historic,Honouliuli,< 6.339 ppm,HDOH EAL: 1.8 mg/kg; C/I 5.6 mg/kg,Surface Soil,Groundwater,Groundwater contamination to nearby well,"DDT exposure has been linked to neurodevelopmental effects, including impaired cognitive function, learning disabilities, and behavioral disorders. In animal studies, prenatal and early-life exposure to DDT has been associated with alterations in brain structure and function. Also reproductive abornamilities",Deemed inconclusive to if site is contributing to NPS pollution,Sampling location not specific. Assume by description they are talking about Oahu Sugar mill in Ewa. ,1990,"(Miles et al, 1990) Soil and water contamination at pesticide mixing and loading sites on Oahu, Hawaii.pdf",7,,157.9878633°W 21.3626796°N ,,-17587124.646,2435178.876
7,17,Ametryn,"Triazine, Herbicide",ʻEwa Sugar Mill-Kunia Air Strip Staging Are,ʻEwa Sugar Mill-Kunia Air Strip Staging Are,Agriculture,Not Specified,Historic,Honouliuli,47 mg/kg,HDOH EAL: 1.1 mg/kg; C/I: 1.3 mg/kg,Soil (surface and subsurface),Not specified,Not specified,"Both acute and chronic toxicity are anticipated to be low. Cancer risk only observed at doses exceeding the maximum tolerated level in oncogenicity studies. Low acute toxicity through dermal, oral, and inhalation routes (Toxicity Category III for oral/dermal, Category IV inhalation). Skin and eye irritation. ",Not specified,P.29 summary. No access to full report,2009,"(HDOH, 2009) Kunia Staging Area (Air strip) SI Report .pdf",17,Mapping based on Kunia Air Strip,158.0363555°W 21.4077821°N,,-17592459.72,2440555.67
8,19,Arsenic (total),Heavy Metal,ʻEwa Sugar Mill-Kunia Air Strip Staging Are,ʻEwa Sugar Mill-Kunia Air Strip Staging Are,Agriculture,Not Specified,Historic,Honouliuli,"3,800 mg/kg",HDOH EAL: 24 mg/kg; C/I: 95 mg/kg,Soil (surface and subsurface),Not specified,Not specified,"Chronic exposure to arsenic can lead to serious health effects, including skin lesions, cardiovascular diseases, and an increased risk of skin, bladder, and lung cancer. It can also cause neurological effects, including cognitive impairment and developmental delays. Acute exposure to high levels of arsenic can result in GI symptoms like nausea, vomiting, and diarrhea.",Not specified,P.29 summary. No access to full report,2009,"(HDOH, 2009) Kunia Staging Area (Air strip) SI Report .pdf",19,,158.0363555°W 21.4077821°N,,-17592502.024,2440538.043
9,20, TEQ Dioxins,Dioxin/Furans,ʻEwa Sugar Mill-Kunia Air Strip Staging Are,ʻEwa Sugar Mill-Kunia Air Strip Staging Are,Agriculture,Not Specified,Historic,Honouliuli,869 ng/kg,"HDOH EAL: 240 ng/kg; C/I: 1,500 ng/kg",Soil (surface and subsurface),Not specified,Not specified,"Exposure to TEQ dioxins can lead to cancer, reproductive and developmental issues, and immune system damage. Short-term exposure can cause skin lesions and altered liver function, while long-term exposure is linked to endocrine disruption and increased risk of certain cancers. Dioxins are highly persistent in the environment and can accumulate in the food chain, posing long-term health risks",Not specified,P.29 summary. No access to full report,2009,"(HDOH, 2009) Kunia Staging Area (Air strip) SI Report .pdf",20,,158.0363555°W 21.4077821°N,,-17592477.347,2440594.449
10,25,TEQ Dioxins,Dioxins/Furans,Fallowed Agricultural Land (DHHL),Fallowed Agricultural Land (DHHL),Agriculture,1890-1994,Historic,Honouliuli,"615,100 ng/kg","HDOH EAL: 240 ng/kg; C/I: 1,500 ng/kg",Surface Soil,Not specified,Not specified,"Exposure to TEQ dioxins can lead to cancer, reproductive and developmental issues, and immune system damage. Short-term exposure can cause skin lesions and altered liver function, while long-term exposure is linked to endocrine disruption and increased risk of certain cancers. Dioxins are highly persistent in the environment and can accumulate in the food chain, posing long-term health risks",Construction workers through incidental ingestion/inhalation of soil,P.66 Location data,2010,"(DHHL, 2010) EHA/SI: East Kapolei II Pesticide Mixing and Loading Site .pdf",25,Mapping based on Sugar Mill location,158.0466004°W 21.3524718°N,,-17593684.632,2433921.933
