OBJECTID,Shape_Leng,commodity,Id,Land Use,Shape__Area,Shape__Length
1,1.147480,,,Undefined,"6,751,603.68","79,885.85"
2,,P,,Pineapple,"495,044.43","4,093.89"
3,,S,,Sugarcane,"2,124,978.66","10,286.92"
4,,S,,Sugarcane,"4,453,030.91","16,301.33"
5,,A-1,,Animal Husbandry,"5,064.60",328.56
6,,S,,Sugarcane,"2,428,498.38","8,252.76"
7,,S,,Sugarcane,"22,274,415.23","40,292.66"
8,,W,,Wetland,"53,935.23","1,192.68"
9,,,,Agriculture - Undefined,"121,300.88","1,532.59"
10,,,0,Conservation,"5,097,172.57","42,531.04"
11,,,0,Urban,"86,973,181.73","166,473.52"
12,,,,Sugarcane,"7,737,982.15","17,888.01"
