OBJECTID,Land Use,Shape__Area,Shape__Length
1,Agriculture,"38,502,485.61","64,418.16"
2,Agriculture,"117,763.40","1,797.71"
3,Agriculture,"5,026,330.69","14,928.81"
4,Apartment,"12,881.30",589.28
5,Apartment,"44,289.18",939.99
6,Apartment,"94,476.16","1,257.20"
7,Apartment,"39,068.97",748.58
8,Apartment,"24,388.80",779.47
9,Apartment,"27,961.59",820.66
10,Apartment,"17,531.98",532.71
11,Apartment,"293,223.14","3,334.65"
12,Apartment,"59,603.20","1,052.82"
13,Apartment,"33,309.57",832.28
14,Apartment,"29,439.51",739.40
15,Apartment,"8,423.60",363.49
16,Apartment,"174,016.98","1,893.82"
17,Cemetery,"142,378.37","2,639.90"
18,Commercial,"57,650.91","1,087.10"
19,Commercial,"51,011.61","1,078.52"
20,Commercial,"296,537.20","3,504.39"
21,Commercial,"29,562.42",661.69
22,Commercial,"114,282.90","1,827.58"
23,Commercial,"35,709.75",953.11
24,Commercial,"20,338.67",747.78
25,Commercial,"20,116.44",634.49
26,Commercial,"5,459.87",300.63
27,Commercial,"17,300.44",596.59
28,Commercial,"86,075.13","1,501.12"
29,Commercial,"24,233.90",634.98
30,Industrial,"206,682.79","1,886.83"
31,Industrial,"970,369.59","3,871.08"
32,Industrial,"555,067.23","3,815.95"
33,Industrial,"74,955.85","1,139.18"
34,Industrial,"354,021.25","3,363.21"
35,Industrial,"224,321.81","2,170.01"
36,Industrial,"140,407.32","1,684.12"
37,Industrial,"18,405.41",531.21
38,Industrial,"390,456.72","3,200.09"
39,Industrial,"74,515.60","1,069.57"
40,Military,"883,273.41","5,033.18"
41,Military,"7,924,169.76","19,966.57"
42,Military,"14,242,821.15","26,134.54"
43,Military,0.21,22.63
44,Military,"2,744,668.40","8,607.70"
45,Military,"2,138,721.52","8,502.73"
46,Military,"180,044.67","1,847.15"
47,Military,"83,278.93","1,460.88"
48,Military,"241,756.47","2,523.42"
49,Military,"458,075.98","2,961.47"
50,Military,"253,666.38","2,231.61"
51,Military,"21,603,598.85","59,882.50"
52,Parks/Recreation,"35,182.98",723.44
53,Parks/Recreation,"27,469.94",705.22
54,Parks/Recreation,"42,090.82",898.14
55,Parks/Recreation,"2,153.15",216.22
