OBJECTID_1,OBJECTID,LANDUSE_DE,Land Use,LOADDATE,CreationDa,Creator,EditDate,Editor,Shape__Are,Shape__Len,Shape__Area,Shape__Length
1,8,1,Urban,"9/30/2021, 2:00 PM","8/31/2023, 2:00 PM",holisgis,"8/31/2023, 2:00 PM",holisgis,653167.447449,3817.821256,"60,649.43","1,163.37"
2,56,4,Conservation,"9/30/2021, 2:00 PM","8/31/2023, 2:00 PM",holisgis,"8/31/2023, 2:00 PM",holisgis,21249.042038,636.689100,"1,973.07",194.01
3,57,4,Conservation,"9/30/2021, 2:00 PM","8/31/2023, 2:00 PM",holisgis,"8/31/2023, 2:00 PM",holisgis,116180.519363,1553.570459,"10,493.54",462.87
4,58,4,Conservation,"9/30/2021, 2:00 PM","8/31/2023, 2:00 PM",holisgis,"8/31/2023, 2:00 PM",holisgis,85916.902237,1587.684638,"7,977.82",483.80
5,68,3,Agriculture,"9/30/2021, 2:00 PM","8/31/2023, 2:00 PM",holisgis,"8/31/2023, 2:00 PM",holisgis,27998.138153,680.003620,"2,599.72",207.21
6,72,4,Conservation,"9/30/2021, 2:00 PM","8/31/2023, 2:00 PM",holisgis,"8/31/2023, 2:00 PM",holisgis,1807460.417809,8477.526462,"40,976.34","3,703.55"
7,75,1,Urban,"9/30/2021, 2:00 PM","8/31/2023, 2:00 PM",holisgis,"8/31/2023, 2:00 PM",holisgis,4204787.024414,11841.267711,"377,289.08","3,526.66"
8,76,1,Urban,"9/30/2021, 2:00 PM","8/31/2023, 2:00 PM",holisgis,"8/31/2023, 2:00 PM",holisgis,316913.696602,3440.420539,"27,233.05","1,036.88"
9,77,4,Conservation,"9/30/2021, 2:00 PM","8/31/2023, 2:00 PM",holisgis,"8/31/2023, 2:00 PM",holisgis,27591.779602,742.057813,"2,560.83",224.96
10,78,3,Agriculture,"9/30/2021, 2:00 PM","8/31/2023, 2:00 PM",holisgis,"8/31/2023, 2:00 PM",holisgis,540415.822556,3472.940480,"50,182.53","1,058.30"
11,79,1,Urban,"9/30/2021, 2:00 PM","8/31/2023, 2:00 PM",holisgis,"8/31/2023, 2:00 PM",holisgis,3316064.061325,11351.555012,"307,910.11","3,459.04"
12,80,1,Urban,"9/30/2021, 2:00 PM","8/31/2023, 2:00 PM",holisgis,"8/31/2023, 2:00 PM",holisgis,19676213.105308,27149.607501,"1,808,989.46","7,655.15"
13,83,4,Conservation,"9/30/2021, 2:00 PM","8/31/2023, 2:00 PM",holisgis,"8/31/2023, 2:00 PM",holisgis,1590.060783,173.144066,147.65,52.76
14,84,4,Conservation,"9/30/2021, 2:00 PM","8/31/2023, 2:00 PM",holisgis,"8/31/2023, 2:00 PM",holisgis,5441.943871,531.552462,505.32,161.98
15,85,4,Conservation,"9/30/2021, 2:00 PM","8/31/2023, 2:00 PM",holisgis,"8/31/2023, 2:00 PM",holisgis,1258.797417,150.276787,116.89,45.79
16,121,4,Conservation,"9/30/2021, 2:00 PM","8/31/2023, 2:00 PM",holisgis,"8/31/2023, 2:00 PM",holisgis,4182826.648232,9636.120002,"388,413.06","2,936.39"
17,122,3,Agriculture,"9/30/2021, 2:00 PM","8/31/2023, 2:00 PM",holisgis,"8/31/2023, 2:00 PM",holisgis,3311674.048332,12612.572129,"307,510.69","3,843.35"
18,125,1,Urban,"9/30/2021, 2:00 PM","8/31/2023, 2:00 PM",holisgis,"8/31/2023, 2:00 PM",holisgis,2283607.627548,7449.846279,"212,047.51","2,270.14"
19,133,4,Conservation,"9/30/2021, 2:00 PM","8/31/2023, 2:00 PM",holisgis,"8/31/2023, 2:00 PM",holisgis,5265880143.866920,1538055.766298,"2,687,712.86","28,007.10"
