OBJECTID,Shape_Leng,Shape__Are,Shape__Len,commodity,Id,Name,Shape__Area,Shape__Length
1,0.000000,"86,935,871.03","166,031.56", ,0,Urban,0.01,1.57
2,0.000000,"495,044.43","4,093.89",P,0,Agriculture,0.00,0.04
3,0.000000,"2,124,978.66","10,286.92",S,0,Agriculture,0.00,0.13
4,0.000000,"4,453,030.91","16,301.33",S,0,Urban,0.00,0.07
5,0.000000,"5,064.60",328.56,A-1,0,Agriculture,0.00,0.00
6,0.000000,"2,428,498.38","8,252.76",S,0,Agriculture,0.00,0.09
7,0.000000,"53,935.23","1,192.68",W,0,Conservation/Wetlands,0.00,0.01
8,0.000000,"5,097,172.57","42,531.04", ,0,Conservation/Wetlands,0.00,0.37
9,0.000000,"7,737,982.15","17,888.01", ,0,Agriculture,0.00,0.15
10,0.000000,0.00,0.00, ,0,Agriculture,0.00,0.14
11,0.000000,0.00,0.00, ,0,Agriculture,0.00,0.13
12,0.000000,0.00,0.00, ,0,Agriculture,0.00,0.07
13,0.000000,0.00,0.00, ,0,Agriculture,0.00,0.02
14,0.000000,0.00,0.00, ,0,Agriculture,0.00,0.02
15,0.000000,0.00,0.00, ,0,Agriculture,0.00,0.01
16,0.000000,0.00,0.00, ,0,Agriculture,0.00,0.00
17,,,,,,Conservation/Wetlands,0.00,0.03
18,,,,,,Agriculture,0.00,0.02
19,,,,,,Urban,0.00,0.08
20,,,,,,Urban,0.00,0.01
21,,,,,,Urban,0.00,0.03
