geoid20,tractname,HA_Urban,HA_Conservation,HA_Agriculture,HA_Unclassified,PCT_Urban,PCT_Conservation,PCT_Agriculture,PCT_Unclassified
15003006704,Moanalua Valley,11.089326176725232,0,0,0,100.00000925561419,0,0,0
15003006806,Ala Lilikoi,51.91558098850815,0,0,0,99.9999997596822,0,0,0
15003006810,Aliamanu Makai,105.55468398700998,1.500357264822406,0,0,98.56657978732011,1.401028154002171,0,0
15003006811,Aliamanu Mauka,59.060950497910405,0,0,0,100.00000166973686,0,0,0
15003006813,Honolulu Country Club,46.1692189499085,21.80787000440587,0,0,67.91879486736876,32.08120654868522,0,0
15003006814,Ala Ilima Street-Ala Lilikoi Street,6.226362286992927,0,0,0,100.00000399979885,0,0,0
15003006816,Likini Street-Aila Street,22.611260997718876,0,0,0,100.00000008539507,0,0,0
15003006817,Likini Street-Maluna Street,49.76976215894834,0.009070039011342,0,0,99.98177993906762,0.018220674665364,0,0
15003006818,Hoa Aloha Neighborhood Park,8.267638687537515,0,0,0,99.99999949658965,0,0,0
15003006819,Likini Street-Ala Nani Street,1.031615999668972,0,0,0,99.99998146048034,0,0,0
15003006900,Arizona Road,7.771242570449477,0,0,0,99.99995804969699,0,0,0
15003007001,Navy Exchange Mall,146.02014844697013,0,0,0,99.99999998698044,0,0,0
15003007002,Aliamanu Middle & Elementary School,161.1193701902121,0.620348656196039,0,0,99.61645213977248,0.383547503611574,0,0
15003007100,Nimitz Elementary School,133.66549686713708,0,0,0,99.99999995908678,0,0,0
15003007302,Hangar Avenue-Vickers Avenue,300.33508241910914,0,0,0,99.99999966012226,0,0,0
15003007400,Ford Island,755.628126387032,0,0,0,99.99808936432504,0,0,0
15003007504,Aloha Stadium,113.67874147607695,3.426981748645979,0,0,97.0736002489386,2.926399888043068,0,0
15003007507,Camp H.M. Smith,369.5829007040888,28.12726657476704,29.87027812248644,0,86.4452795421173,6.578955403995207,6.986645046023267,0
15003007508,Stadium Mall,209.09604912154876,3.863807976065607,0.743072063407113,0,97.84425966572542,1.808027614567221,0.347712624068224,0
15003007701,Lower Aiea,135.6911145702412,0.304122380555738,0,0,99.76981443062483,0.223612530329236,0,0
15003007702,Aiea Heights,222.9152420267195,0,40.272100740280784,0,84.68147314218318,0,15.29864349432243,0
15003007804,Lower Pearl City,49.39923948518575,0,0.003138962619388,0,99.9936466413758,0,0.006353869457398,0
15003007807,Pearl Ridge High Rise,38.5117757106373,0,0,0,99.99999992369054,0,0,0
15003007808,Pearlridge Center,117.94903461058334,0,0,0,100.0639385057613,0,0,0
15003007809,Newtown,24.172704768529822,0,173.16465380604797,0,12.249431742419986,0,87.7505693842957,0
15003007812,Newtown Neighborhood Park,79.39182184560667,0,0,0,100.00000017471203,0,0,0
15003007813,Waiau Elementary School,56.76886389545571,0,0,0,99.99999999990682,0,0,0
15003007814,Nahele Neighborhood Park,33.73242838546694,0,107.10089945421238,0,23.95202143049899,0,76.04797999239872,0
15003007815,Pearl City High School,74.6482445000003,0,49.448286584911905,0,60.15336795580348,0,39.846629986405304,0
15003007816,Kaonohi Street,180.47446322101445,0,55.005500884142066,0,76.64111319878228,0,23.35888825808336,0
15003007817,Pono Street,40.4661119221408,0,41.41163252543335,0,49.42260206444992,0,50.57739767738594,0
15003008001,Hale Mohalu Hospital,102.04863072502256,1.853005378231087,15.039429537873964,0,85.7789592132884,1.557579671887884,12.641684692434469,0
15003008002,Lower Waiau,132.4881058429881,1.601592567868107,0,0,98.79577109497268,1.194300210692319,0,0
15003008005,Pacific Palisades,22.04455480623409,0,0,0,101.2110512993672,0,0,0
15003008008,Manana Housing,52.48475136490056,0,0.002250422229557,0,99.99571238661234,0,0.004287580071603,0
15003008009,Pearl Highlands Center,101.53686810067585,0,4.720699518080441,0,95.55270362475626,0,4.442480946974054,0
15003008010,Waimano Home Rd Hoomoana St,55.29736256607262,0,0,0,99.99999891032975,0,0,0
15003008011,Manana Elementary School,128.94927269238624,0,26.414900434745434,0,82.98964904030669,0,17.000199153846047,0
15003008012,Pearl City Highlands Elementary School,85.88304959688067,0,0,0,100.00000008451114,0,0,0
15003008013,Waimano Home Road-Komo Mai Drive,75.42341401881458,0,0,0,100.00000000000236,0,0,0
15003008301,Iroquois Point,1194.6206126699162,0,395.84689518472516,0,75.10974861553996,0,24.88820339464701,0
15003008302,Campbell High School,159.49471912057732,0,2.229150571424149,0,98.6216322122331,0,1.378368318480073,0
15003008405,Holomua School,0,0,115.49851122416264,0,0,0,100.00000000004331,0
15003008410,Coral Creek Golf Course,0,0,37.92061113387925,0,0,0,100.00000808991658,0
15003008411,Geiger Road,0,0,85.84205905694941,0,0,0,100.00000368250335,0
15003008413,Puuloa Neighborhood Park,18.127741098723373,0,0,0,100.00001312227742,0,0,0
15003008414,Keanui Drive-Hoomahana Street,2.677288044313141,0,164.40344454000933,0,1.60239186982797,0,98.39760927562419,0
15003008415,Hoalauna Community Park,0,0,64.36072992250418,0,0,0,99.99999999984979,0
15003008416,Kolowaka Drive-Koka Street,0,0,27.824553803321237,0,0,0,99.99999999953145,0
15003008417,Kolowaka Drive-Fort Weaver Road,0,0,43.29631179819076,0,0,0,100.00000000007769,0
15003008418,Ewa Beach Park,47.91561618041239,0,0,0,99.99806507273965,0,0,0
15003008623,UH West Oahu,0,0,47.38296263219427,0,0,0,100.00000226196326,0
15003008624,Fort Weaver Road-Aawa Drive,63.924844955250904,0,36.0167578912734,0,64.00997484590778,0,36.0647220695713,0
15003008625,Fort Weaver Road-Renton Road,51.69785644787411,0,26.001896952003666,0,66.53468619983354,0,33.46421250649578,0
15003008626,Ewa Villages Golf Course,33.434599276010424,0,136.57084106494824,0,19.66678201276731,0,80.33321824352736,0
15003008627,Honouliuli National Historic Site,87.44899948292407,0.5179921251562,1140.0511846184738,0,7.121148620714838,0.042181144774761,92.83667016082252,0
15003008702,St. Joseph School,115.62720414496626,0,0,0,100.03590951730105,0,0,0
15003008704,Waipahu High School,142.98693341578252,5.634925313454048,62.042507867917635,0,67.8644298034059,2.674447127769003,29.446602703102755,0
15003008705,Waipahu Intermediate School,48.705440941348584,0,0,0,78.8919722571077,0,0,0
15003008706,Kapapapuhi Point Park,54.531679084160935,0,74.86864524946067,0,41.7053969221714,0,57.258947818845506,0
15003008707,Waipahu District Park,88.23201010497205,0,0,0,99.999999777814807,0,0,0
15003008801,Paiwa Street-Hiapo Street,41.67699583781062,0,1.410710860230902,0,96.72595563665851,0,3.274044909903341,0
15003008802,Waipahu Uka Neighborhood Park,111.45804510737948,0,6.191113090075376,0,94.7381577741286,0,5.26238055009813,0
15003008912,August Ahrens School,53.5691327312684,0,0,0,99.99999996974206,0,0,0
15003008913,Robinson Heights,74.56486385392975,3.350121588248198,10.559934811346288,0,84.27848659333208,3.786544530065925,11.935585722625913,0
15003008921,Waipio,79.42797846560264,0.09012700496185,15.8815505954368,0,83.25553534618521,0.094470137503206,16.646867042237837,0
15003008931,Waiawa Prison,0.492617749209176,0,232.3182430489192,0,0.211594705757303,0,99.78793975431127,0
15003008933,Kealohi Neighborhood Park,1.161023462440454,0,0,0,99.99999563965207,0,0,0
15003008934,Royal Kunia Golf Course,32.38478220075762,0,137.25301256668754,0,19.09054619929104,0,80.9094518886381,0
15003008935,Kupuohi Neighborhood Park,0,0,74.52177783989939,0,0,0,99.99999999997473,0
15003008936,Kaleiopuu Elementary School,2.690727885695554,0,83.16714253026102,0,3.133932710314159,0,96.86606727665045,0
15003008937,Farrington Highway-Leoku Street,22.768071262787178,0,4.351362796636836,0,83.95481864287562,0,16.04518319643914,0
15003008938,Pacific Supermarket,32.98192487056726,0,0,0,100.00000106646696,0,0,0
15003008946,Waipio Uka Street-Mohalu Street,0.942649662203032,0,40.99535753773964,0,2.247721726121733,0,97.75228221304859,0
15003008948,Kanoelani Elementary School,3.250138300635395,0,46.870728837606755,0,6.484601104909997,0,93.51539900590149,0
15003008949,Waikele Country Club,0,0,78.38831046682282,0,0,0,99.99999999992885,0
15003008950,Kunia Neighborhood Park,3.062201738865427,0,41.58135706712427,0,6.859224137449643,0,93.14077659965217,0
15003008951,Kupuna Loop-Kaaka Street,0,0,31.29789147540527,0,0,0,100.00000000020113,0
15003008952,Patsy T. Mink Central Oahu Regional Park,52.55717469837434,0,260.4815998994305,0,16.78934971512924,0,83.21065011896813,0
15003011401,Lehua Community Park,205.83368740996653,0,9.672855076622607,0,95.49635852170822,0,4.487712618614591,0
15003980200,Honolulu International Airport,59.13360441737808,0,0,0,99.99998460482551,0,0,0
